geo,year,immigrant_stock_value,g77_and_oecd_countries.x,income_groups.x,is--country.x,iso3166_1_alpha2.x,unicode_region_subtag.x,iso3166_1_alpha3.x,iso3166_1_numeric.x,iso3166_2.x,landlocked.x,latitude.x,longitude.x,main_religion_2008.x,country_name,un_state.x,world_4region.x,world_6region.x,emigrant_stock_value,g77_and_oecd_countries.y,income_groups.y,is--country.y,iso3166_1_alpha2.y,unicode_region_subtag.y,iso3166_1_alpha3.y,iso3166_1_numeric.y,iso3166_2.y,landlocked.y,latitude.y,longitude.y,main_religion_2008.y,un_state.y,world_4region.y,world_6region.y,net_migration
rwa,1990,160024,g77,low_income,TRUE,RW,RW,RWA,646,NA,landlocked,-2,30,christian,Rwanda,TRUE,africa,sub_saharan_africa,547718,g77,low_income,TRUE,RW,RW,RWA,646,NA,landlocked,-2,30,christian,TRUE,africa,sub_saharan_africa,-387694
syc,1990,3721,g77,upper_middle_income,TRUE,SC,SC,SYC,690,NA,coastline,-4.58333,55.66667,christian,Seychelles,TRUE,africa,sub_saharan_africa,35633,g77,upper_middle_income,TRUE,SC,SC,SYC,690,NA,coastline,-4.58333,55.66667,christian,TRUE,africa,sub_saharan_africa,-31912
som,1990,478294,g77,low_income,TRUE,SO,SO,SOM,706,NA,coastline,6,48,muslim,Somalia,TRUE,africa,sub_saharan_africa,848067,g77,low_income,TRUE,SO,SO,SOM,706,NA,coastline,6,48,muslim,TRUE,africa,sub_saharan_africa,-369773
uga,1990,544273,g77,low_income,TRUE,UG,UG,UGA,800,NA,landlocked,1.25,32.5,christian,Uganda,TRUE,africa,sub_saharan_africa,311602,g77,low_income,TRUE,UG,UG,UGA,800,NA,landlocked,1.25,32.5,christian,TRUE,africa,sub_saharan_africa,232671
tza,1990,574025,g77,low_income,TRUE,TZ,TZ,TZA,834,NA,coastline,-6,35,christian,Tanzania,TRUE,africa,sub_saharan_africa,203070,g77,low_income,TRUE,TZ,TZ,TZA,834,NA,coastline,-6,35,christian,TRUE,africa,sub_saharan_africa,370955
zmb,1990,279463,g77,lower_middle_income,TRUE,ZM,ZM,ZMB,894,NA,landlocked,-14.33333,28.5,christian,Zambia,TRUE,africa,sub_saharan_africa,85203,g77,lower_middle_income,TRUE,ZM,ZM,ZMB,894,NA,landlocked,-14.33333,28.5,christian,TRUE,africa,sub_saharan_africa,194260
zwe,1990,634621,g77,low_income,TRUE,ZW,ZW,ZWE,716,NA,landlocked,-19,29.75,christian,Zimbabwe,TRUE,africa,sub_saharan_africa,204365,g77,low_income,TRUE,ZW,ZW,ZWE,716,NA,landlocked,-19,29.75,christian,TRUE,africa,sub_saharan_africa,430256
ago,1990,33517,g77,upper_middle_income,TRUE,AO,AO,AGO,24,NA,coastline,-12.5,18.5,christian,Angola,TRUE,africa,sub_saharan_africa,824942,g77,upper_middle_income,TRUE,AO,AO,AGO,24,NA,coastline,-12.5,18.5,christian,TRUE,africa,sub_saharan_africa,-791425
cmr,1990,265967,g77,lower_middle_income,TRUE,CM,CM,CMR,120,NA,coastline,6,12.5,christian,Cameroon,TRUE,africa,sub_saharan_africa,115853,g77,lower_middle_income,TRUE,CM,CM,CMR,120,NA,coastline,6,12.5,christian,TRUE,africa,sub_saharan_africa,150114
caf,1990,67234,g77,low_income,TRUE,CF,CF,CAF,140,NA,landlocked,7,21,NA,Central African Republic,TRUE,africa,sub_saharan_africa,46362,g77,low_income,TRUE,CF,CF,CAF,140,NA,landlocked,7,21,NA,TRUE,africa,sub_saharan_africa,20872
tcd,1990,74342,g77,low_income,TRUE,TD,TD,TCD,148,NA,landlocked,15,19,muslim,Chad,TRUE,africa,sub_saharan_africa,336802,g77,low_income,TRUE,TD,TD,TCD,148,NA,landlocked,15,19,muslim,TRUE,africa,sub_saharan_africa,-262460
cog,1990,129391,g77,lower_middle_income,TRUE,CG,CG,COG,178,NA,coastline,-1,15.5,christian,"Congo, Rep.",TRUE,africa,sub_saharan_africa,96372,g77,lower_middle_income,TRUE,CG,CG,COG,178,NA,coastline,-1,15.5,christian,TRUE,africa,sub_saharan_africa,33019
cod,1990,754194,g77,low_income,TRUE,CD,CD,COD,180,NA,landlocked,-2.5,23.5,christian,"Congo, Dem. Rep.",TRUE,africa,sub_saharan_africa,436526,g77,low_income,TRUE,CD,CD,COD,180,NA,landlocked,-2.5,23.5,christian,TRUE,africa,sub_saharan_africa,317668
gnq,1990,2740,g77,high_income,TRUE,GQ,GQ,GNQ,226,NA,coastline,1.7,10.5,christian,Equatorial Guinea,TRUE,africa,sub_saharan_africa,36178,g77,high_income,TRUE,GQ,GQ,GNQ,226,NA,coastline,1.7,10.5,christian,TRUE,africa,sub_saharan_africa,-33438
gab,1990,128188,g77,upper_middle_income,TRUE,GA,GA,GAB,266,NA,coastline,-1,11.75,christian,Gabon,TRUE,africa,sub_saharan_africa,15352,g77,upper_middle_income,TRUE,GA,GA,GAB,266,NA,coastline,-1,11.75,christian,TRUE,africa,sub_saharan_africa,112836
stp,1990,5582,g77,lower_middle_income,TRUE,ST,ST,STP,678,NA,coastline,1,7,christian,Sao Tome and Principe,TRUE,africa,sub_saharan_africa,13977,g77,lower_middle_income,TRUE,ST,ST,STP,678,NA,coastline,1,7,christian,TRUE,africa,sub_saharan_africa,-8395
bwa,1990,27510,g77,upper_middle_income,TRUE,BW,BW,BWA,72,NA,landlocked,-22,24,christian,Botswana,TRUE,africa,sub_saharan_africa,26053,g77,upper_middle_income,TRUE,BW,BW,BWA,72,NA,landlocked,-22,24,christian,TRUE,africa,sub_saharan_africa,1457
swz,1990,74991,g77,lower_middle_income,TRUE,SZ,SZ,SWZ,748,NA,landlocked,-26.5,31.5,christian,Swaziland,TRUE,africa,sub_saharan_africa,35181,g77,lower_middle_income,TRUE,SZ,SZ,SWZ,748,NA,landlocked,-26.5,31.5,christian,TRUE,africa,sub_saharan_africa,39810
lso,1990,8240,g77,lower_middle_income,TRUE,LS,LS,LSO,426,NA,landlocked,-29.5,28.25,christian,Lesotho,TRUE,africa,sub_saharan_africa,191339,g77,lower_middle_income,TRUE,LS,LS,LSO,426,NA,landlocked,-29.5,28.25,christian,TRUE,africa,sub_saharan_africa,-183099
nam,1990,120641,g77,upper_middle_income,TRUE,NA,NA,NAM,516,NA,coastline,-22,17,christian,Namibia,TRUE,africa,sub_saharan_africa,16079,g77,upper_middle_income,TRUE,NA,NA,NAM,516,NA,coastline,-22,17,christian,TRUE,africa,sub_saharan_africa,104562
zaf,1990,1163883,g77,upper_middle_income,TRUE,ZA,ZA,ZAF,710,NA,coastline,-29,24,christian,South Africa,TRUE,africa,sub_saharan_africa,308303,g77,upper_middle_income,TRUE,ZA,ZA,ZAF,710,NA,coastline,-29,24,christian,TRUE,africa,sub_saharan_africa,855580
ben,1990,76751,g77,low_income,TRUE,BJ,BJ,BEN,204,NA,coastline,9.5,2.25,NA,Benin,TRUE,africa,sub_saharan_africa,234314,g77,low_income,TRUE,BJ,BJ,BEN,204,NA,coastline,9.5,2.25,NA,TRUE,africa,sub_saharan_africa,-157563
bfa,1990,349652,g77,low_income,TRUE,BF,BF,BFA,854,NA,landlocked,12.5,-1.66667,muslim,Burkina Faso,TRUE,africa,sub_saharan_africa,1021332,g77,low_income,TRUE,BF,BF,BFA,854,NA,landlocked,12.5,-1.66667,muslim,TRUE,africa,sub_saharan_africa,-671680
cpv,1990,8931,g77,lower_middle_income,TRUE,CV,CV,CPV,132,NA,coastline,16,-24,christian,Cape Verde,TRUE,africa,sub_saharan_africa,91368,g77,lower_middle_income,TRUE,CV,CV,CPV,132,NA,coastline,16,-24,christian,TRUE,africa,sub_saharan_africa,-82437
civ,1990,1816426,g77,lower_middle_income,TRUE,CI,CI,CIV,384,NA,coastline,8,-5.5,NA,Cote d'Ivoire,TRUE,africa,sub_saharan_africa,366348,g77,lower_middle_income,TRUE,CI,CI,CIV,384,NA,coastline,8,-5.5,NA,TRUE,africa,sub_saharan_africa,1450078
gmb,1990,118123,g77,low_income,TRUE,GM,GM,GMB,270,NA,coastline,13.5,-15.5,muslim,Gambia,TRUE,africa,sub_saharan_africa,36280,g77,low_income,TRUE,GM,GM,GMB,270,NA,coastline,13.5,-15.5,muslim,TRUE,africa,sub_saharan_africa,81843
gha,1990,164851,g77,lower_middle_income,TRUE,GH,GH,GHA,288,NA,coastline,8.1,-1.2,christian,Ghana,TRUE,africa,sub_saharan_africa,371162,g77,lower_middle_income,TRUE,GH,GH,GHA,288,NA,coastline,8.1,-1.2,christian,TRUE,africa,sub_saharan_africa,-206311
gin,1990,403621,g77,low_income,TRUE,GN,GN,GIN,324,NA,coastline,10.83333,-10.66667,muslim,Guinea,TRUE,africa,sub_saharan_africa,352763,g77,low_income,TRUE,GN,GN,GIN,324,NA,coastline,10.83333,-10.66667,muslim,TRUE,africa,sub_saharan_africa,50858
gnb,1990,15368,g77,low_income,TRUE,GW,GW,GNB,624,NA,coastline,12,-15,NA,Guinea-Bissau,TRUE,africa,sub_saharan_africa,55409,g77,low_income,TRUE,GW,GW,GNB,624,NA,coastline,12,-15,NA,TRUE,africa,sub_saharan_africa,-40041
lbr,1990,94964,g77,low_income,TRUE,LR,LR,LBR,430,NA,coastline,6.5,-9.5,NA,Liberia,TRUE,africa,sub_saharan_africa,516886,g77,low_income,TRUE,LR,LR,LBR,430,NA,coastline,6.5,-9.5,NA,TRUE,africa,sub_saharan_africa,-421922
mli,1990,160736,g77,low_income,TRUE,ML,ML,MLI,466,NA,landlocked,18,-2,muslim,Mali,TRUE,africa,sub_saharan_africa,647436,g77,low_income,TRUE,ML,ML,MLI,466,NA,landlocked,18,-2,muslim,TRUE,africa,sub_saharan_africa,-486700
mrt,1990,111650,g77,lower_middle_income,TRUE,MR,MR,MRT,478,NA,coastline,20.25,-10.5,muslim,Mauritania,TRUE,africa,sub_saharan_africa,134488,g77,lower_middle_income,TRUE,MR,MR,MRT,478,NA,coastline,20.25,-10.5,muslim,TRUE,africa,sub_saharan_africa,-22838
ner,1990,115464,g77,low_income,TRUE,NE,NE,NER,562,NA,landlocked,18,9,muslim,Niger,TRUE,africa,sub_saharan_africa,149779,g77,low_income,TRUE,NE,NE,NER,562,NA,landlocked,18,9,muslim,TRUE,africa,sub_saharan_africa,-34315
nga,1990,456621,g77,lower_middle_income,TRUE,NG,NG,NGA,566,NA,coastline,10,8,NA,Nigeria,TRUE,africa,sub_saharan_africa,446806,g77,lower_middle_income,TRUE,NG,NG,NGA,566,NA,coastline,10,8,NA,TRUE,africa,sub_saharan_africa,9815
shn,1990,178,others,NA,TRUE,SH,SH,SHN,654,NA,coastline,-15.95,-5.7,christian,St. Helena,FALSE,africa,sub_saharan_africa,884,others,NA,TRUE,SH,SH,SHN,654,NA,coastline,-15.95,-5.7,christian,FALSE,africa,sub_saharan_africa,-706
sen,1990,270410,g77,lower_middle_income,TRUE,SN,SN,SEN,686,NA,coastline,14.5,-14.25,muslim,Senegal,TRUE,africa,sub_saharan_africa,370263,g77,lower_middle_income,TRUE,SN,SN,SEN,686,NA,coastline,14.5,-14.25,muslim,TRUE,africa,sub_saharan_africa,-99853
sle,1990,222148,g77,low_income,TRUE,SL,SL,SLE,694,NA,coastline,8.5,-11.5,NA,Sierra Leone,TRUE,africa,sub_saharan_africa,61854,g77,low_income,TRUE,SL,SL,SLE,694,NA,coastline,8.5,-11.5,NA,TRUE,africa,sub_saharan_africa,160294
tgo,1990,84844,g77,low_income,TRUE,TG,TG,TGO,768,NA,coastline,8.66667,1.08333,NA,Togo,TRUE,africa,sub_saharan_africa,193830,g77,low_income,TRUE,TG,TG,TGO,768,NA,coastline,8.66667,1.08333,NA,TRUE,africa,sub_saharan_africa,-108986
dza,1990,273954,g77,upper_middle_income,TRUE,DZ,DZ,DZA,12,NA,coastline,28,3,muslim,Algeria,TRUE,africa,middle_east_north_africa,921727,g77,upper_middle_income,TRUE,DZ,DZ,DZA,12,NA,coastline,28,3,muslim,TRUE,africa,middle_east_north_africa,-647773
egy,1990,173833,g77,lower_middle_income,TRUE,EG,EG,EGY,818,NA,coastline,27,30,muslim,Egypt,TRUE,africa,middle_east_north_africa,1322178,g77,lower_middle_income,TRUE,EG,EG,EGY,818,NA,coastline,27,30,muslim,TRUE,africa,middle_east_north_africa,-1148345
lby,1990,457075,g77,upper_middle_income,TRUE,LY,LY,LBY,434,NA,coastline,28,17,muslim,Libya,TRUE,africa,middle_east_north_africa,76256,g77,upper_middle_income,TRUE,LY,LY,LBY,434,NA,coastline,28,17,muslim,TRUE,africa,middle_east_north_africa,380819
mar,1990,54895,g77,lower_middle_income,TRUE,MA,MA,MAR,504,NA,coastline,32,-6,muslim,Morocco,TRUE,africa,middle_east_north_africa,1748251,g77,lower_middle_income,TRUE,MA,MA,MAR,504,NA,coastline,32,-6,muslim,TRUE,africa,middle_east_north_africa,-1693356
sdn,1990,1402896,g77,lower_middle_income,TRUE,SD,SD,SDN,729,NA,coastline,16,30,muslim,Sudan,TRUE,africa,sub_saharan_africa,584940,g77,lower_middle_income,TRUE,SD,SD,SDN,729,NA,coastline,16,30,muslim,TRUE,africa,sub_saharan_africa,817956
tun,1990,37984,g77,upper_middle_income,TRUE,TN,TN,TUN,788,NA,coastline,34,9,muslim,Tunisia,TRUE,africa,middle_east_north_africa,465576,g77,upper_middle_income,TRUE,TN,TN,TUN,788,NA,coastline,34,9,muslim,TRUE,africa,middle_east_north_africa,-427592
esh,1990,2688,others,NA,TRUE,EH,EH,ESH,732,NA,coastline,24.49215,-12.65625,muslim,Western Sahara,FALSE,africa,middle_east_north_africa,168239,others,NA,TRUE,EH,EH,ESH,732,NA,coastline,24.49215,-12.65625,muslim,FALSE,africa,middle_east_north_africa,-165551
arm,1990,658789,others,lower_middle_income,TRUE,AM,AM,ARM,51,NA,landlocked,40.25,45,christian,Armenia,TRUE,europe,europe_central_asia,899649,others,lower_middle_income,TRUE,AM,AM,ARM,51,NA,landlocked,40.25,45,christian,TRUE,europe,europe_central_asia,-240860
aze,1990,360600,others,upper_middle_income,TRUE,AZ,AZ,AZE,31,NA,landlocked,40.5,47.5,muslim,Azerbaijan,TRUE,europe,europe_central_asia,1634081,others,upper_middle_income,TRUE,AZ,AZ,AZE,31,NA,landlocked,40.5,47.5,muslim,TRUE,europe,europe_central_asia,-1273481
bhr,1990,173212,g77,high_income,TRUE,BH,BH,BHR,48,NA,coastline,26.03333,50.55,muslim,Bahrain,TRUE,asia,middle_east_north_africa,12820,g77,high_income,TRUE,BH,BH,BHR,48,NA,coastline,26.03333,50.55,muslim,TRUE,asia,middle_east_north_africa,160392
cyp,1990,43805,others,high_income,TRUE,CY,CY,CYP,196,NA,coastline,35,33,christian,Cyprus,TRUE,europe,europe_central_asia,174378,others,high_income,TRUE,CY,CY,CYP,196,NA,coastline,35,33,christian,TRUE,europe,europe_central_asia,-130573
geo,1990,304470,others,lower_middle_income,TRUE,GE,GE,GEO,268,NA,coastline,41.99998,43.4999,christian,Georgia,TRUE,europe,europe_central_asia,919454,others,lower_middle_income,TRUE,GE,GE,GEO,268,NA,coastline,41.99998,43.4999,christian,TRUE,europe,europe_central_asia,-614984
irq,1990,83638,g77,upper_middle_income,TRUE,IQ,IQ,IRQ,368,NA,coastline,33,44,muslim,Iraq,TRUE,asia,middle_east_north_africa,1506702,g77,upper_middle_income,TRUE,IQ,IQ,IRQ,368,NA,coastline,33,44,muslim,TRUE,asia,middle_east_north_africa,-1423064
isr,1990,1632704,oecd,high_income,TRUE,IL,IL,ISR,376,NA,coastline,31.5,34.75,NA,Israel,TRUE,asia,middle_east_north_africa,281597,oecd,high_income,TRUE,IL,IL,ISR,376,NA,coastline,31.5,34.75,NA,TRUE,asia,middle_east_north_africa,1351107
jor,1990,1146349,g77,upper_middle_income,TRUE,JO,JO,JOR,400,NA,coastline,31,36,muslim,Jordan,TRUE,asia,middle_east_north_africa,313997,g77,upper_middle_income,TRUE,JO,JO,JOR,400,NA,coastline,31,36,muslim,TRUE,asia,middle_east_north_africa,832352
kwt,1990,1074391,g77,high_income,TRUE,KW,KW,KWT,414,NA,coastline,29.36972,47.97833,muslim,Kuwait,TRUE,asia,middle_east_north_africa,81611,g77,high_income,TRUE,KW,KW,KWT,414,NA,coastline,29.36972,47.97833,muslim,TRUE,asia,middle_east_north_africa,992780
lbn,1990,523693,g77,upper_middle_income,TRUE,LB,LB,LBN,422,NA,coastline,33.83333,35.83333,NA,Lebanon,TRUE,asia,middle_east_north_africa,509323,g77,upper_middle_income,TRUE,LB,LB,LBN,422,NA,coastline,33.83333,35.83333,NA,TRUE,asia,middle_east_north_africa,14370
omn,1990,304000,g77,high_income,TRUE,OM,OM,OMN,512,NA,coastline,21,57,muslim,Oman,TRUE,asia,middle_east_north_africa,12535,g77,high_income,TRUE,OM,OM,OMN,512,NA,coastline,21,57,muslim,TRUE,asia,middle_east_north_africa,291465
qat,1990,309753,g77,high_income,TRUE,QA,QA,QAT,634,NA,coastline,25.27932,51.52245,muslim,Qatar,TRUE,asia,middle_east_north_africa,12204,g77,high_income,TRUE,QA,QA,QAT,634,NA,coastline,25.27932,51.52245,muslim,TRUE,asia,middle_east_north_africa,297549
sau,1990,4998445,g77,high_income,TRUE,SA,SA,SAU,682,NA,coastline,25,45,muslim,Saudi Arabia,TRUE,asia,middle_east_north_africa,107166,g77,high_income,TRUE,SA,SA,SAU,682,NA,coastline,25,45,muslim,TRUE,asia,middle_east_north_africa,4891279
pse,1990,288332,g77,lower_middle_income,TRUE,PS,PS,PSE,275,NA,coastline,31.92157,35.20329,muslim,Palestine,TRUE,asia,middle_east_north_africa,1813063,g77,lower_middle_income,TRUE,PS,PS,PSE,275,NA,coastline,31.92157,35.20329,muslim,TRUE,asia,middle_east_north_africa,-1524731
syr,1990,714140,g77,lower_middle_income,TRUE,SY,SY,SYR,760,NA,coastline,35,38,muslim,Syria,TRUE,asia,middle_east_north_africa,621881,g77,lower_middle_income,TRUE,SY,SY,SYR,760,NA,coastline,35,38,muslim,TRUE,asia,middle_east_north_africa,92259
tur,1990,1163686,oecd,upper_middle_income,TRUE,TR,TR,TUR,792,NA,coastline,39,35,muslim,Turkey,TRUE,europe,europe_central_asia,2640033,oecd,upper_middle_income,TRUE,TR,TR,TUR,792,NA,coastline,39,35,muslim,TRUE,europe,europe_central_asia,-1476347
are,1990,1306574,g77,high_income,TRUE,AE,AE,ARE,784,NA,coastline,23.75,54.5,muslim,United Arab Emirates,TRUE,asia,middle_east_north_africa,79545,g77,high_income,TRUE,AE,AE,ARE,784,NA,coastline,23.75,54.5,muslim,TRUE,asia,middle_east_north_africa,1227029
yem,1990,118863,g77,lower_middle_income,TRUE,YE,YE,YEM,887,NA,coastline,15.5,47.5,muslim,Yemen,TRUE,asia,middle_east_north_africa,455492,g77,lower_middle_income,TRUE,YE,YE,YEM,887,NA,coastline,15.5,47.5,muslim,TRUE,asia,middle_east_north_africa,-336629
kaz,1990,3619200,others,upper_middle_income,TRUE,KZ,KZ,KAZ,398,NA,landlocked,48,68,muslim,Kazakhstan,TRUE,asia,europe_central_asia,2971639,others,upper_middle_income,TRUE,KZ,KZ,KAZ,398,NA,landlocked,48,68,muslim,TRUE,asia,europe_central_asia,647561
kgz,1990,623083,others,low_income,TRUE,KG,KG,KGZ,417,NA,landlocked,41.5,75,muslim,Kyrgyz Republic,TRUE,asia,europe_central_asia,522578,others,low_income,TRUE,KG,KG,KGZ,417,NA,landlocked,41.5,75,muslim,TRUE,asia,europe_central_asia,100505
tjk,1990,428900,others,low_income,TRUE,TJ,TJ,TJK,762,NA,landlocked,39,71,muslim,Tajikistan,TRUE,asia,europe_central_asia,537701,others,low_income,TRUE,TJ,TJ,TJK,762,NA,landlocked,39,71,muslim,TRUE,asia,europe_central_asia,-108801
tkm,1990,306500,g77,upper_middle_income,TRUE,TM,TM,TKM,795,NA,landlocked,39.75,59.66667,muslim,Turkmenistan,TRUE,asia,europe_central_asia,259987,g77,upper_middle_income,TRUE,TM,TM,TKM,795,NA,landlocked,39.75,59.66667,muslim,TRUE,asia,europe_central_asia,46513
uzb,1990,1653000,others,lower_middle_income,TRUE,UZ,UZ,UZB,860,NA,landlocked,41.66667,63.83333,muslim,Uzbekistan,TRUE,asia,europe_central_asia,1428020,others,lower_middle_income,TRUE,UZ,UZ,UZB,860,NA,landlocked,41.66667,63.83333,muslim,TRUE,asia,europe_central_asia,224980
afg,1990,57686,g77,low_income,TRUE,AF,AF,AFG,4,NA,landlocked,33,66,muslim,Afghanistan,TRUE,asia,south_asia,6823350,g77,low_income,TRUE,AF,AF,AFG,4,NA,landlocked,33,66,muslim,TRUE,asia,south_asia,-6765664
bgd,1990,881617,g77,low_income,TRUE,BD,BD,BGD,50,NA,coastline,24,90,muslim,Bangladesh,TRUE,asia,south_asia,5451831,g77,low_income,TRUE,BD,BD,BGD,50,NA,coastline,24,90,muslim,TRUE,asia,south_asia,-4570214
btn,1990,23807,g77,lower_middle_income,TRUE,BT,BT,BTN,64,NA,landlocked,27.5,90.5,eastern_religions,Bhutan,TRUE,asia,south_asia,28465,g77,lower_middle_income,TRUE,BT,BT,BTN,64,NA,landlocked,27.5,90.5,eastern_religions,TRUE,asia,south_asia,-4658
ind,1990,7594801,g77,lower_middle_income,TRUE,IN,IN,IND,356,NA,coastline,22,79,eastern_religions,India,TRUE,asia,south_asia,6623177,g77,lower_middle_income,TRUE,IN,IN,IND,356,NA,coastline,22,79,eastern_religions,TRUE,asia,south_asia,971624
irn,1990,4291601,g77,upper_middle_income,TRUE,IR,IR,IRN,364,NA,coastline,32,53,muslim,Iran,TRUE,asia,middle_east_north_africa,631339,g77,upper_middle_income,TRUE,IR,IR,IRN,364,NA,coastline,32,53,muslim,TRUE,asia,middle_east_north_africa,3660262
mdv,1990,8689,g77,upper_middle_income,TRUE,MV,MV,MDV,462,NA,coastline,3.2,73,muslim,Maldives,TRUE,asia,south_asia,2193,g77,upper_middle_income,TRUE,MV,MV,MDV,462,NA,coastline,3.2,73,muslim,TRUE,asia,south_asia,6496
npl,1990,429974,g77,low_income,TRUE,NP,NP,NPL,524,NA,landlocked,28,84,eastern_religions,Nepal,TRUE,asia,south_asia,748060,g77,low_income,TRUE,NP,NP,NPL,524,NA,landlocked,28,84,eastern_religions,TRUE,asia,south_asia,-318086
pak,1990,6208204,g77,lower_middle_income,TRUE,PK,PK,PAK,586,NA,coastline,30,70,muslim,Pakistan,TRUE,asia,south_asia,3343328,g77,lower_middle_income,TRUE,PK,PK,PAK,586,NA,coastline,30,70,muslim,TRUE,asia,south_asia,2864876
lka,1990,41561,g77,lower_middle_income,TRUE,LK,LK,LKA,144,NA,coastline,7.75,80.75,eastern_religions,Sri Lanka,TRUE,asia,south_asia,885951,g77,lower_middle_income,TRUE,LK,LK,LKA,144,NA,coastline,7.75,80.75,eastern_religions,TRUE,asia,south_asia,-844390
chn,1990,376361,g77,upper_middle_income,TRUE,CN,CN,CHN,156,NA,coastline,35,105,eastern_religions,China,TRUE,asia,east_asia_pacific,4231648,g77,upper_middle_income,TRUE,CN,CN,CHN,156,NA,coastline,35,105,eastern_religions,TRUE,asia,east_asia_pacific,-3855287
hkg,1990,2218473,others,high_income,TRUE,HK,HK,HKG,344,NA,coastline,22.285520000000002,114.15769,eastern_religions,"Hong Kong, China",FALSE,asia,east_asia_pacific,551080,others,high_income,TRUE,HK,HK,HKG,344,NA,coastline,22.285520000000002,114.15769,eastern_religions,FALSE,asia,east_asia_pacific,1667393
mac,1990,205047,others,high_income,TRUE,MO,MO,MAC,446,NA,coastline,22.20056,113.54611,eastern_religions,"Macao, China",FALSE,asia,east_asia_pacific,95648,others,high_income,TRUE,MO,MO,MAC,446,NA,coastline,22.20056,113.54611,eastern_religions,FALSE,asia,east_asia_pacific,109399
