geo,year,emigrant_stock_value,g77_and_oecd_countries,income_groups,is--country,iso3166_1_alpha2,unicode_region_subtag,iso3166_1_alpha3,iso3166_1_numeric,iso3166_2,landlocked,latitude,longitude,main_religion_2008,country_name,un_state,world_4region,world_6region
lso,1990,191339,g77,lower_middle_income,TRUE,LS,LS,LSO,426,NA,landlocked,-29.5,28.25,christian,Lesotho,TRUE,africa,sub_saharan_africa
lbr,1990,516886,g77,low_income,TRUE,LR,LR,LBR,430,NA,coastline,6.5,-9.5,NA,Liberia,TRUE,africa,sub_saharan_africa
lby,1990,76256,g77,upper_middle_income,TRUE,LY,LY,LBY,434,NA,coastline,28,17,muslim,Libya,TRUE,africa,middle_east_north_africa
lie,1990,3428,others,high_income,TRUE,LI,LI,LIE,438,NA,landlocked,47.16667,9.53333,christian,Liechtenstein,TRUE,europe,europe_central_asia
ltu,1990,341050,others,high_income,TRUE,LT,LT,LTU,440,NA,coastline,55.41667,24,christian,Lithuania,TRUE,europe,europe_central_asia
lux,1990,36141,oecd,high_income,TRUE,LU,LU,LUX,442,NA,landlocked,49.61167,6.13,christian,Luxembourg,TRUE,europe,europe_central_asia
mdg,1990,59424,g77,low_income,TRUE,MG,MG,MDG,450,NA,coastline,-20,47,NA,Madagascar,TRUE,africa,sub_saharan_africa
mwi,1990,143437,g77,low_income,TRUE,MW,MW,MWI,454,NA,landlocked,-13.5,34,christian,Malawi,TRUE,africa,sub_saharan_africa
mys,1990,562762,g77,upper_middle_income,TRUE,MY,MY,MYS,458,NA,coastline,2.5,112.5,muslim,Malaysia,TRUE,asia,east_asia_pacific
mdv,1990,2193,g77,upper_middle_income,TRUE,MV,MV,MDV,462,NA,coastline,3.2,73,muslim,Maldives,TRUE,asia,south_asia
mli,1990,647436,g77,low_income,TRUE,ML,ML,MLI,466,NA,landlocked,18,-2,muslim,Mali,TRUE,africa,sub_saharan_africa
mlt,1990,110746,others,high_income,TRUE,MT,MT,MLT,470,NA,coastline,35.91667,14.43333,christian,Malta,TRUE,europe,europe_central_asia
mhl,1990,1426,g77,upper_middle_income,TRUE,MH,MH,MHL,584,NA,coastline,7.113,171.236,christian,Marshall Islands,TRUE,asia,east_asia_pacific
mtq,1990,11041,others,NA,TRUE,MQ,MQ,MTQ,474,NA,coastline,14.66667,-61,christian,Martinique,FALSE,americas,america
mrt,1990,134488,g77,lower_middle_income,TRUE,MR,MR,MRT,478,NA,coastline,20.25,-10.5,muslim,Mauritania,TRUE,africa,sub_saharan_africa
mus,1990,110708,g77,upper_middle_income,TRUE,MU,MU,MUS,480,NA,coastline,-20.3,57.58333,NA,Mauritius,TRUE,africa,sub_saharan_africa
myt,1990,1835,others,NA,TRUE,YT,YT,MYT,175,NA,coastline,-12.83333,45.16667,muslim,Mayotte,FALSE,africa,sub_saharan_africa
mex,1990,4395365,oecd,upper_middle_income,TRUE,MX,MX,MEX,484,NA,coastline,19.42847,-99.12766,christian,Mexico,TRUE,americas,america
fsm,1990,7714,g77,lower_middle_income,TRUE,FM,FM,FSM,583,NA,coastline,6.924,158.162,christian,"Micronesia, Fed. Sts.",TRUE,asia,east_asia_pacific
mco,1990,4479,others,high_income,TRUE,MC,MC,MCO,492,NA,coastline,43.73333,7.41667,christian,Monaco,TRUE,europe,europe_central_asia
mng,1990,24466,g77,lower_middle_income,TRUE,MN,MN,MNG,496,NA,landlocked,46,105,NA,Mongolia,TRUE,asia,east_asia_pacific
mne,1990,77384,others,upper_middle_income,TRUE,ME,ME,MNE,499,NA,coastline,42.75,19.25,christian,Montenegro,TRUE,europe,europe_central_asia
msr,1990,7188,others,NA,TRUE,MS,MS,MSR,500,NA,coastline,16.75,-62.2,christian,Montserrat,FALSE,americas,america
mar,1990,1748251,g77,lower_middle_income,TRUE,MA,MA,MAR,504,NA,coastline,32,-6,muslim,Morocco,TRUE,africa,middle_east_north_africa
moz,1990,2222369,g77,low_income,TRUE,MZ,MZ,MOZ,508,NA,coastline,-18.25,35,christian,Mozambique,TRUE,africa,sub_saharan_africa
mmr,1990,685310,g77,low_income,TRUE,MM,MM,MMR,104,NA,coastline,21,96,eastern_religions,Myanmar,TRUE,asia,east_asia_pacific
nam,1990,16079,g77,upper_middle_income,TRUE,NA,NA,NAM,516,NA,coastline,-22,17,christian,Namibia,TRUE,africa,sub_saharan_africa
nru,1990,1419,others,NA,TRUE,NR,NR,NRU,520,NA,coastline,-0.517,166.933,christian,Nauru,TRUE,asia,east_asia_pacific
npl,1990,748060,g77,low_income,TRUE,NP,NP,NPL,524,NA,landlocked,28,84,eastern_religions,Nepal,TRUE,asia,south_asia
nld,1990,723638,oecd,high_income,TRUE,NL,NL,NLD,528,NA,coastline,52.25,5.75,christian,Netherlands,TRUE,europe,europe_central_asia
ncl,1990,4151,others,high_income,TRUE,NC,NC,NCL,540,NA,coastline,-21.5,165.5,christian,New Caledonia,FALSE,asia,east_asia_pacific
nzl,1990,388173,oecd,high_income,TRUE,NZ,NZ,NZL,554,NA,coastline,-42,174,christian,New Zealand,TRUE,asia,east_asia_pacific
nic,1990,442126,g77,lower_middle_income,TRUE,NI,NI,NIC,558,NA,coastline,13,-85,christian,Nicaragua,TRUE,americas,america
ner,1990,149779,g77,low_income,TRUE,NE,NE,NER,562,NA,landlocked,18,9,muslim,Niger,TRUE,africa,sub_saharan_africa
nga,1990,446806,g77,lower_middle_income,TRUE,NG,NG,NGA,566,NA,coastline,10,8,NA,Nigeria,TRUE,africa,sub_saharan_africa
niu,1990,5860,others,NA,TRUE,NU,NU,NIU,570,NA,coastline,-19.03333,-169.86667,christian,Niue,FALSE,asia,east_asia_pacific
mkd,1990,432296,others,upper_middle_income,TRUE,MK,MK,MKD,807,NA,landlocked,41.66667,21.75,christian,North Macedonia,TRUE,europe,europe_central_asia
mnp,1990,2525,others,high_income,TRUE,MP,MP,MNP,580,NA,coastline,15.214,145.756,christian,Northern Mariana Islands,FALSE,asia,east_asia_pacific
nor,1990,138536,oecd,high_income,TRUE,NO,NO,NOR,578,NA,coastline,62,10,christian,Norway,TRUE,europe,europe_central_asia
omn,1990,12535,g77,high_income,TRUE,OM,OM,OMN,512,NA,coastline,21,57,muslim,Oman,TRUE,asia,middle_east_north_africa
pak,1990,3343328,g77,lower_middle_income,TRUE,PK,PK,PAK,586,NA,coastline,30,70,muslim,Pakistan,TRUE,asia,south_asia
plw,1990,2958,others,upper_middle_income,TRUE,PW,PW,PLW,585,NA,coastline,7.503,134.621,christian,Palau,TRUE,asia,east_asia_pacific
pan,1990,134743,g77,upper_middle_income,TRUE,PA,PA,PAN,591,NA,coastline,8.9936,-79.51973,christian,Panama,TRUE,americas,america
png,1990,3111,g77,lower_middle_income,TRUE,PG,PG,PNG,598,NA,coastline,-6,147,christian,Papua New Guinea,TRUE,asia,east_asia_pacific
pry,1990,297979,g77,lower_middle_income,TRUE,PY,PY,PRY,600,NA,landlocked,-23.33333,-58,christian,Paraguay,TRUE,americas,america
per,1990,314854,g77,upper_middle_income,TRUE,PE,PE,PER,604,NA,coastline,-10,-75.25,christian,Peru,TRUE,americas,america
phl,1990,2033684,g77,lower_middle_income,TRUE,PH,PH,PHL,608,NA,coastline,13,122,christian,Philippines,TRUE,asia,east_asia_pacific
pol,1990,1510415,oecd,high_income,TRUE,PL,PL,POL,616,NA,coastline,52,20,christian,Poland,TRUE,europe,europe_central_asia
prt,1990,1873457,oecd,high_income,TRUE,PT,PT,PRT,620,NA,coastline,39.6945,-8.13057,christian,Portugal,TRUE,europe,europe_central_asia
pri,1990,1200821,others,high_income,TRUE,PR,PR,PRI,630,NA,coastline,18.46633,-66.10572,christian,Puerto Rico,FALSE,americas,america
qat,1990,12204,g77,high_income,TRUE,QA,QA,QAT,634,NA,coastline,25.27932,51.52245,muslim,Qatar,TRUE,asia,middle_east_north_africa
kor,1990,1624729,oecd,high_income,TRUE,KR,KR,KOR,410,NA,coastline,36.5,127.75,NA,South Korea,TRUE,asia,east_asia_pacific
mda,1990,625683,others,lower_middle_income,TRUE,MD,MD,MDA,498,NA,landlocked,47.25,28.58333,christian,Moldova,TRUE,europe,europe_central_asia
reu,1990,3087,others,NA,TRUE,RE,RE,REU,638,NA,coastline,-20.88231,55.4504,christian,Reunion,FALSE,africa,sub_saharan_africa
rou,1990,813066,others,upper_middle_income,TRUE,RO,RO,ROU,642,NA,coastline,46,25,christian,Romania,TRUE,europe,europe_central_asia
rus,1990,12662893,others,high_income,TRUE,RU,RU,RUS,643,NA,coastline,60,100,christian,Russia,TRUE,europe,europe_central_asia
rwa,1990,547718,g77,low_income,TRUE,RW,RW,RWA,646,NA,landlocked,-2,30,christian,Rwanda,TRUE,africa,sub_saharan_africa
shn,1990,884,others,NA,TRUE,SH,SH,SHN,654,NA,coastline,-15.95,-5.7,christian,St. Helena,FALSE,africa,sub_saharan_africa
kna,1990,20714,g77,high_income,TRUE,KN,KN,KNA,659,NA,coastline,17.33333,-62.75,christian,St. Kitts and Nevis,TRUE,americas,america
lca,1990,22005,g77,upper_middle_income,TRUE,LC,LC,LCA,662,NA,coastline,13.88333,-60.96667,christian,St. Lucia,TRUE,americas,america
spm,1990,485,others,NA,TRUE,PM,PM,SPM,666,NA,coastline,46.83333,-56.33333,christian,St.-Pierre-et-Miquelon,FALSE,americas,america
vct,1990,37049,g77,upper_middle_income,TRUE,VC,VC,VCT,670,NA,coastline,13.08333,-61.2,christian,St. Vincent and the Grenadines,TRUE,americas,america
wsm,1990,74861,g77,lower_middle_income,TRUE,WS,WS,WSM,882,NA,coastline,-13.8,-172.13333,christian,Samoa,TRUE,asia,east_asia_pacific
smr,1990,1419,others,high_income,TRUE,SM,SM,SMR,674,NA,landlocked,43.93667,12.44639,christian,San Marino,TRUE,europe,europe_central_asia
stp,1990,13977,g77,lower_middle_income,TRUE,ST,ST,STP,678,NA,coastline,1,7,christian,Sao Tome and Principe,TRUE,africa,sub_saharan_africa
sau,1990,107166,g77,high_income,TRUE,SA,SA,SAU,682,NA,coastline,25,45,muslim,Saudi Arabia,TRUE,asia,middle_east_north_africa
sen,1990,370263,g77,lower_middle_income,TRUE,SN,SN,SEN,686,NA,coastline,14.5,-14.25,muslim,Senegal,TRUE,africa,sub_saharan_africa
srb,1990,742547,others,upper_middle_income,TRUE,RS,RS,SRB,688,NA,landlocked,44.81892,20.45998,christian,Serbia,TRUE,europe,europe_central_asia
